,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
54,Adam Mokoka,0.4,0.6,0.0,0.4,0.0,0.0,0.33299999999999996,0.14300000000000002,0.0,1.0,0.0,0.0
55,Al Horford,0.5,6.8,0.3,2.4,1.4,0.5,0.33299999999999996,0.35200000000000004,0.25,0.9,0.33299999999999996,1.0
56,Alec Burks,3.7,6.0,7.3,1.0,0.0,0.7,0.429,0.667,0.75,0.5,0.0,0.0
57,Aleksej Pokusevski,0.0,0.9,0.7,0.6,0.0,0.0,0.0,0.105,0.28600000000000003,1.0,0.0,0.0
58,Alex Caruso,0.3,4.0,0.5,0.7,0.0,0.3,0.2,0.5,1.0,1.0,0.0,1.0
59,Alex Len,0.0,1.3,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.667,0.0,0.0
60,Alfonzo McKinnie,0.3,1.0,0.3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
61,Amir Coffey,0.6,0.8,0.3,0.0,0.0,0.0,0.5,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0
62,Andre Drummond,2.5,0.0,0.5,9.2,5.2,1.9,0.387,0.0,0.75,0.511,0.451,0.409
63,Andre Iguodala,0.0,3.9,0.4,0.0,0.0,0.0,0.0,0.409,0.25,0.0,0.0,0.0
64,Andrew Wiggins,5.5,4.1,4.9,1.4,0.7,0.0,0.413,0.368,0.40399999999999997,0.5379999999999999,0.5,0.0
65,Anfernee Simons,0.5,1.9,2.4,0.0,0.0,0.0,0.2,0.35700000000000004,0.41200000000000003,0.0,0.0,0.0
66,Anthony Davis,2.8,4.9,5.3,4.9,3.4,3.1,0.727,0.395,0.479,0.69,0.556,0.722
67,Anthony Edwards,4.0,3.6,2.0,0.8,0.0,0.2,0.395,0.4,0.18600000000000003,0.5710000000000001,0.0,0.5
68,Anthony Gill,0.0,0.8,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
69,Anzejs Pasecniks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Aron Baynes,0.0,1.9,0.0,2.9,0.0,0.3,0.0,0.25,0.0,0.47600000000000003,0.0,0.33299999999999996
71,Austin Rivers,4.6,5.6,2.4,0.0,0.0,0.3,0.6,0.44799999999999995,0.429,0.0,0.0,1.0
72,Avery Bradley,1.1,5.6,0.9,0.9,0.0,0.0,0.6,0.433,0.375,0.6,0.0,0.0
73,Bam Adebayo,2.0,2.0,2.0,8.5,1.4,2.8,0.556,0.47100000000000003,0.5,0.784,0.4,0.7
74,Ben McLemore,0.0,7.5,3.0,0.0,0.0,0.0,0.0,0.556,1.0,0.0,0.0,0.0
75,Ben Simmons,4.8,0.3,0.0,2.4,0.9,0.8,0.45899999999999996,0.5,0.0,0.688,0.667,0.375
